year,price,data_year,scenario,fuel,region,dollar_year
2035,0.752567,2025,reference,uranium,p9,2024
2034,0.752632,2025,reference,uranium,p9,2024
2033,0.7527079999999999,2025,reference,uranium,p9,2024
2032,0.7527729999999999,2025,reference,uranium,p9,2024
2031,0.752838,2025,reference,uranium,p9,2024
2030,0.752914,2025,reference,uranium,p9,2024
2029,0.7529800000000001,2025,reference,uranium,p9,2024
2028,0.753056,2025,reference,uranium,p9,2024
2027,0.7531209999999999,2025,reference,uranium,p9,2024
2026,0.7531859999999999,2025,reference,uranium,p9,2024
2025,0.753262,2025,reference,uranium,p9,2024
2024,0.753328,2025,reference,uranium,p9,2024
2050,0.7515229999999999,2025,reference,uranium,p10,2024
2049,0.751599,2025,reference,uranium,p10,2024
2048,0.7516649999999999,2025,reference,uranium,p10,2024
2047,0.75173,2025,reference,uranium,p10,2024
2046,0.751806,2025,reference,uranium,p10,2024
2045,0.751871,2025,reference,uranium,p10,2024
2050,6.02887,2025,no_111d,naturalgas,p27,2024
2049,5.927143,2025,no_111d,naturalgas,p27,2024
2048,5.850029,2025,no_111d,naturalgas,p27,2024
2047,5.855166,2025,no_111d,naturalgas,p27,2024
2046,5.896524,2025,no_111d,naturalgas,p27,2024
2045,5.820673,2025,no_111d,naturalgas,p27,2024
2044,5.767966,2025,no_111d,naturalgas,p27,2024
2043,5.668748,2025,no_111d,naturalgas,p27,2024
2042,5.535761,2025,no_111d,naturalgas,p27,2024
2041,5.414425,2025,no_111d,naturalgas,p27,2024
2040,5.314845,2025,no_111d,naturalgas,p27,2024
2039,5.241008,2025,no_111d,naturalgas,p27,2024
2038,5.283087,2025,no_111d,naturalgas,p27,2024
2037,5.3658339999999995,2025,no_111d,naturalgas,p27,2024
2036,5.324239,2025,no_111d,naturalgas,p27,2024
2035,5.181501,2025,no_111d,naturalgas,p27,2024
2034,4.962039,2025,no_111d,naturalgas,p27,2024
2033,4.682761,2025,no_111d,naturalgas,p27,2024
2032,4.410215,2025,no_111d,naturalgas,p27,2024
2031,4.123353,2025,no_111d,naturalgas,p27,2024
2030,3.864106,2025,no_111d,naturalgas,p27,2024
2029,3.513755,2025,no_111d,naturalgas,p27,2024
2028,3.261199,2025,no_111d,naturalgas,p27,2024
2027,3.124088,2025,no_111d,naturalgas,p27,2024
2026,3.162345,2025,no_111d,naturalgas,p27,2024
2025,3.265199,2025,no_111d,naturalgas,p27,2024
2024,2.873044,2025,no_111d,naturalgas,p27,2024
2050,6.02887,2025,no_111d,naturalgas,p28,2024
2049,5.927143,2025,no_111d,naturalgas,p28,2024
2048,5.850029,2025,no_111d,naturalgas,p28,2024
2047,5.855166,2025,no_111d,naturalgas,p28,2024
2046,5.896524,2025,no_111d,naturalgas,p28,2024
2045,5.820673,2025,no_111d,naturalgas,p28,2024
2044,5.767966,2025,no_111d,naturalgas,p28,2024
2043,5.668748,2025,no_111d,naturalgas,p28,2024
2044,0.7519359999999999,2025,reference,uranium,p10,2024
2043,0.752012,2025,reference,uranium,p10,2024
2042,0.7520779999999999,2025,reference,uranium,p10,2024
2041,0.752154,2025,reference,uranium,p10,2024
2040,0.752219,2025,reference,uranium,p10,2024
2039,0.752284,2025,reference,uranium,p10,2024
2038,0.75236,2025,reference,uranium,p10,2024
2037,0.752425,2025,reference,uranium,p10,2024
2036,0.752491,2025,reference,uranium,p10,2024
2035,0.752567,2025,reference,uranium,p10,2024
2034,0.752632,2025,reference,uranium,p10,2024
2033,0.7527079999999999,2025,reference,uranium,p10,2024
2032,0.7527729999999999,2025,reference,uranium,p10,2024
2031,0.752838,2025,reference,uranium,p10,2024
2030,0.752914,2025,reference,uranium,p10,2024
2029,0.7529800000000001,2025,reference,uranium,p10,2024
2028,0.753056,2025,reference,uranium,p10,2024
2027,0.7531209999999999,2025,reference,uranium,p10,2024
2026,0.7531859999999999,2025,reference,uranium,p10,2024
2025,0.753262,2025,reference,uranium,p10,2024
2024,0.753328,2025,reference,uranium,p10,2024
2050,0.7515229999999999,2025,reference,uranium,p11,2024
2049,0.751599,2025,reference,uranium,p11,2024
2048,0.7516649999999999,2025,reference,uranium,p11,2024
2047,0.75173,2025,reference,uranium,p11,2024
2046,0.751806,2025,reference,uranium,p11,2024
2045,0.751871,2025,reference,uranium,p11,2024
2044,0.7519359999999999,2025,reference,uranium,p11,2024
2043,0.752012,2025,reference,uranium,p11,2024
2042,0.7520779999999999,2025,reference,uranium,p11,2024
2041,0.752154,2025,reference,uranium,p11,2024
2040,0.752219,2025,reference,uranium,p11,2024
2039,0.752284,2025,reference,uranium,p11,2024
2038,0.75236,2025,reference,uranium,p11,2024
2037,0.752425,2025,reference,uranium,p11,2024
2036,0.752491,2025,reference,uranium,p11,2024
2035,0.752567,2025,reference,uranium,p11,2024
2034,0.752632,2025,reference,uranium,p11,2024
2033,0.7527079999999999,2025,reference,uranium,p11,2024
2032,0.7527729999999999,2025,reference,uranium,p11,2024
2031,0.752838,2025,reference,uranium,p11,2024
2030,0.752914,2025,reference,uranium,p11,2024
2029,0.7529800000000001,2025,reference,uranium,p11,2024
2028,0.753056,2025,reference,uranium,p11,2024
2027,0.7531209999999999,2025,reference,uranium,p11,2024
2026,0.7531859999999999,2025,reference,uranium,p11,2024
2025,0.753262,2025,reference,uranium,p11,2024
2024,0.753328,2025,reference,uranium,p11,2024
